City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
torbay,47.6666,-52.7314,279.68,82,76,0.45,CA,1636276403
cape town,-33.9258,18.4232,294.32,56,99,2.24,ZA,1636276324
san patricio,28.017,-97.5169,291.39,75,0,1.56,US,1636276403
popondetta,-8.7537,148.2534,297.94,81,11,0.82,PG,1636276403
attawapiskat,-38.0023,-57.5575,283.64,85,97,2.62,AR,1636276404
mar del plata,-33.918,25.5701,292.65,70,100,3.61,ZA,1636276405
port elizabeth,55.7435,-97.8558,275.15,93,100,3.31,CA,1636276406
thompson,-2.7933,-57.07,295.76,95,94,1.13,BR,1636276406
barreirinha,71.6872,128.8694,257.21,84,100,6.62,RU,1636276406
tiksi,-54.8,-68.3,277.96,93,90,2.06,AR,1636276407
ushuaia,-16.4833,-151.75,299.53,75,68,4.57,PF,1636276407
bargal,14.9215,-23.5087,298.45,73,75,7.2,CV,1636276407
faanui,37.1041,-113.5841,292.23,41,1,0.45,US,1636276261
praya,-7.05,113.9333,303.47,63,44,3.7,ID,1636276408
saint george,-7.738,-72.6509,294.88,97,100,0.68,BR,1636276408
kalianget,50.6789,156.125,276.62,94,100,5.29,RU,1636276408
rodrigues alves,-23.1203,-134.9692,297.22,84,100,6.58,PF,1636276409
severo-kurilsk,22.0752,-159.319,297.33,83,90,5.14,US,1636276409
rikitea,48.0056,91.6419,268.84,28,59,1.4,MN,1636276329
kapaa,45.32,37.1,287.41,61,85,4.64,RU,1636276410
hovd,-35.7167,150.1833,292.7,96,100,2.52,AU,1636276410
akhtanizovskaya,10.9995,122.6711,300.39,88,83,3.82,PH,1636276410
batemans bay,69.4541,-133.0374,258.97,95,9,2.93,CA,1636276411
dingle,42.1584,-72.3287,275.75,90,0,0.56,US,1636276403
tuktoyaktuk,-33.65,115.3333,292.64,52,89,7.45,AU,1636276411
palmer,-34.0226,20.4417,289.8,60,100,1.81,ZA,1636276411
busselton,41.7597,86.1469,275.72,28,0,7.78,CN,1636276412
swellendam,-21.3393,55.4781,302.7,58,0,9.26,RE,1636276412
korla,-16.9167,145.7667,300.99,74,7,1.54,AU,1636276412
hebertville,-0.8667,134.0833,300.75,75,100,1.97,ID,1636276413
saint-pierre,-42.7826,147.0587,286.29,55,92,1.54,AU,1636276413
cairns,-0.7275,119.8922,300.42,87,96,0.83,ID,1636276414
manokwari,-0.7393,-90.3518,293.13,83,30,3.59,EC,1636276414
new norfolk,-0.6,73.0833,301.45,71,93,6.87,MV,1636276414
