City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
São João da Barra,-21.6403,-41.0511,295.14,94,72,4.93,BR,1637212685
Kenai,60.5544,-151.2583,261.56,77,1,0.0,US,1637212685
Enugu,6.4402,7.4943,295.93,94,5,0.97,NG,1637212686
Kavieng,-2.5744,150.7967,302.19,69,9,4.13,PG,1637212686
Port Hedland,-20.3167,118.5667,306.18,49,14,9.26,AU,1637212686
Cabo San Lucas,22.8909,-109.9124,299.55,53,4,4.58,MX,1637212687
Ushtobe,45.2514,77.9838,273.02,44,92,8.39,KZ,1637212687
Payakumbuh,-0.2202,100.6308,302.96,56,100,0.68,ID,1637212688
Kiryat Gat,31.61,34.7642,292.26,77,4,1.03,IL,1637212688
Avera,33.194,-82.5271,289.1,94,0,2.48,US,1637212688
Albany,42.6001,-73.9662,285.47,83,97,2.87,US,1637212575
Tuktoyaktuk,69.4541,-133.0374,254.15,84,90,4.12,CA,1637212689
Gobabis,-22.45,18.9667,293.67,25,35,3.32,NA,1637212689
Seddon,-37.8068,144.8916,301.59,36,0,7.15,AU,1637212689
Aldan,58.6031,125.3894,257.81,96,100,1.79,RU,1637212690
Troitskoye,52.9821,84.6757,266.12,90,100,9.23,RU,1637212690
Vanimo,-2.6741,141.3028,302.47,69,94,2.48,PG,1637212691
Fairbanks,64.8378,-147.7164,258.13,64,75,3.09,US,1637212434
Lhokseumawe,5.1801,97.1507,301.53,71,90,2.63,ID,1637212691
Chokurdakh,70.6333,147.9167,252.72,100,71,3.16,RU,1637212692
Marsh Harbour,26.5412,-77.0636,298.44,68,97,9.25,BS,1637212692
Iqaluit,63.7506,-68.5145,262.0,85,90,1.03,CA,1637212692
Busselton,-33.65,115.3333,290.95,60,100,5.91,AU,1637212693
Bluff,-46.6,168.3333,286.53,66,7,6.57,NZ,1637212693
Mezen',65.8522,44.24,269.49,96,100,3.76,RU,1637212693
Rikitea,-23.1203,-134.9692,296.02,70,0,7.14,PF,1637212694
Soyo,-6.1349,12.3689,297.39,89,93,1.45,AO,1637212694
Moose Factory,51.2585,-80.6094,273.15,93,90,3.6,CA,1637212694
George Town,5.4112,100.3354,301.11,89,40,4.12,MY,1637212695
Lexington,37.9887,-84.4777,290.77,70,90,0.89,US,1637212444
Baykit,61.67,96.37,259.41,94,100,1.57,RU,1637212695
Port Elizabeth,-33.918,25.5701,290.31,72,20,6.17,ZA,1637212696
Saint-Augustin,51.226,-58.6502,269.17,73,7,4.8,CA,1637212696
Ushuaia,-54.8,-68.3,275.96,87,40,8.75,AR,1637212652
Madang,-5.2246,145.7966,303.19,66,42,3.1,PG,1637212697
Tiksi,71.6872,128.8694,254.31,93,100,1.26,RU,1637212697
Kyra,49.5776,111.9753,267.51,35,1,9.05,RU,1637212698
Mataura,-46.1927,168.8643,288.31,52,46,3.39,NZ,1637212698
Saint-Pierre,-21.3393,55.4781,301.97,55,0,3.6,RE,1637212698
Qaanaaq,77.484,-69.3632,253.45,67,0,2.88,GL,1637212699
Bambous Virieux,-20.3428,57.7575,301.29,65,40,6.69,MU,1637212699
Bredasdorp,-34.5322,20.0403,285.53,58,97,1.81,ZA,1637212700
Kaeo,-35.1,173.7833,293.89,67,12,2.25,NZ,1637212700
Mar del Plata,-38.0023,-57.5575,285.98,81,62,0.89,AR,1637212549
Punta Arenas,-53.15,-70.9167,278.21,70,40,10.29,CL,1637212700
Port Blair,11.6667,92.75,302.04,72,78,4.64,IN,1637212701
Kautokeino,69.0125,23.0412,273.48,99,100,1.59,NO,1637212701
Butaritari,3.0707,172.7902,300.97,78,86,4.8,KI,1637212701
Itarema,-2.9248,-39.9167,300.11,79,35,7.08,BR,1637212702
Chul'man,56.8479,124.9104,262.08,84,99,4.29,RU,1637212702
Kassala,15.451,36.4,297.97,68,5,4.24,SD,1637212702
Port Alfred,-33.5906,26.891,289.13,80,97,11.07,ZA,1637212703
Kapaa,22.0752,-159.319,299.14,83,20,5.14,US,1637212690
Alihe,50.5667,123.7167,269.61,77,100,2.69,CN,1637212703
Omboué,-1.5746,9.2618,296.55,94,69,2.44,GA,1637212704
Beşikdüzü,41.052,39.2284,285.09,61,35,1.53,TR,1637212704
